BenchmarkMathRandSrc_1-4             	  300000	      4362 ns/op	   1.83 MB/s	    5424 B/op	       2 allocs/op
BenchmarkMathRandSrc_10-4            	  300000	      4351 ns/op	  18.39 MB/s	    5424 B/op	       2 allocs/op
BenchmarkMathRandSrc_100-4           	  300000	      4800 ns/op	 166.63 MB/s	    5424 B/op	       2 allocs/op
BenchmarkMathRandSrc_1000-4          	  200000	      9029 ns/op	 885.96 MB/s	    5424 B/op	       2 allocs/op
BenchmarkMathRandSrc_10000-4         	   30000	     53062 ns/op	1507.66 MB/s	    5424 B/op	       2 allocs/op
BenchmarkRandoSrc_1-4                	20000000	        83.1 ns/op	  96.33 MB/s	      80 B/op	       1 allocs/op
BenchmarkRandoSrc_10-4               	10000000	       139 ns/op	 573.84 MB/s	      80 B/op	       1 allocs/op
BenchmarkRandoSrc_100-4              	 2000000	       673 ns/op	1187.76 MB/s	      80 B/op	       1 allocs/op
BenchmarkRandoSrc_1000-4             	  200000	      6019 ns/op	1328.94 MB/s	      80 B/op	       1 allocs/op
BenchmarkRandoSrc_10000-4            	   30000	     58997 ns/op	1355.98 MB/s	      80 B/op	       1 allocs/op
BenchmarkCryptoRandSrc_1-4           	  100000	     21768 ns/op	   0.37 MB/s	    2048 B/op	       1 allocs/op
BenchmarkCryptoRandSrc_10-4          	   50000	     21747 ns/op	   3.68 MB/s	    2048 B/op	       1 allocs/op
BenchmarkCryptoRandSrc_100-4         	  100000	     22008 ns/op	  36.35 MB/s	    2048 B/op	       1 allocs/op
BenchmarkCryptoRandSrc_1000-4        	   20000	     87794 ns/op	  91.12 MB/s	    2048 B/op	       1 allocs/op
BenchmarkCryptoRandSrc_10000-4       	    2000	    877830 ns/op	  91.13 MB/s	    2048 B/op	       1 allocs/op
BenchmarkMathRandGlobalSrc_1-4       	 5000000	       249 ns/op	  32.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkMathRandGlobalSrc_10-4      	 1000000	      2248 ns/op	  35.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkMathRandGlobalSrc_100-4     	  100000	     21496 ns/op	  37.21 MB/s	       0 B/op	       0 allocs/op
BenchmarkMathRandGlobalSrc_1000-4    	   10000	    213043 ns/op	  37.55 MB/s	       0 B/op	       0 allocs/op
BenchmarkMathRandGlobalSrc_10000-4   	    1000	   2182785 ns/op	  36.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkRandoGlobalSrc_1-4          	50000000	        38.1 ns/op	 209.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkRandoGlobalSrc_10-4         	 5000000	       241 ns/op	 331.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkRandoGlobalSrc_100-4        	 1000000	      2181 ns/op	 366.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkRandoGlobalSrc_1000-4       	  100000	     22200 ns/op	 360.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkRandoGlobalSrc_10000-4      	   10000	    217601 ns/op	 367.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkCryptoGlobalSrc_1-4         	20000000	        88.3 ns/op	  90.60 MB/s	       0 B/op	       0 allocs/op
BenchmarkCryptoGlobalSrc_10-4        	 2000000	       877 ns/op	  91.14 MB/s	       0 B/op	       0 allocs/op
BenchmarkCryptoGlobalSrc_100-4       	  200000	      8822 ns/op	  90.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkCryptoGlobalSrc_1000-4      	   20000	     87668 ns/op	  91.25 MB/s	       0 B/op	       0 allocs/op
BenchmarkCryptoGlobalSrc_10000-4     	    2000	    876118 ns/op	  91.31 MB/s	       5 B/op	       0 allocs/op
